produto,grupo
240471 - CILINDRO TELESCÓPICO CBH 6T 10 OC NV,Cilindro
240485 - CIL. COMPL. CBHM / 6000 CÓD.4403-03,Cilindro
"240590 - ADAPT. 1/2"" NPTF X 3/4-16-PTT-30°",
240634 - MACACO MOD. RAL-611 (CBHs),Especiais
255452 - PARAF RODA 5/8-18Fx2.3/32 - 216R,Especiais
"255464 - PARAF RODA 1/2 X 1.3/4"" CF. DES.",Especiais
256328 - PARAF FRANC 5/16X1.1/2 C/PO.SX.,
"257645 - PARAF ALLEN 1/4 X 2"" NC C/CAB.",
258003 - PARAF SEX   3/8 X 1.1/4   UNC ZB,
258090 - PARAF SEX   5/16X 3/4    UNC ZB,
258155 - PARAF SEX   1/2 X 3.1/2  UNC  ZB,
258192 - PARAF SEX   3/4 X 2  8.8 UNF ZB,
258234 - PARAF SEX   3/4 X 2   UNC ZB,
258416 - PARAF SEX   5/16X 1.1/4    UNC,
"258532 - PARAF SEX   1/2 X 2 ""     UNC ZB",
"258544 - PARAF SEX   1/2 X 3""     UNC ZB",
258570 - PARAF SEX   3/8 X 2        UNC,
"258820 - PARAF SEX  1/2"" X 4.1/2""  8.8 UNF",
260101 - PARAF SEX   1/2 X 1.1/2  UNC ZB,
260137 - PARAF SEX   5/8 X 2.1/4    UNC,
260629 - PARAF SEX   5/8 X1.1/2 8.8 NC ZB,
260826 - BUCHA FLUTUANTE PARA FEIXE DE MOLAS,
260988 - PARAF SEX   5/8 X 1.3/4  UNC ZB,
266176 - PLACA DE IDENT. CEMAG,
"272401 - PORCA CAST.  DE 1"" UNS-14 FIOS ZB",
272504 - PORCA CAST 1.1/2 S/COROA - UNC ZB,
"273405 - PORCA CÔN. 1/2"" UNF - CH-13/16"" ZB",
"273600 - PORCA CON. 5/8"" UNF CH-1.1/16"" ZB",
"274033 - PORCA CAST.  DE 7/8""  UNF ZB",
274057 - PORCA SEX     1/2   UNF  ZB,
274124 - PORCA SEX     1/2   UNC  ZB,
"274203 - PORCA SEX     3/4""   UNC  ZB",
"274306 - PORCA SEX     5/8""  UNC  ZB",
274355 - PORCA SEX     1/4          UNF,
"274409 - PORCA SEX     1/4""  UNC  ZB",
"274604 - PORCA SEX     3/8""  UNC  ZB",
"275098 - PORCA  A/T. NY  3/4"" ALTA UNF-ZB",
"279419 - PORCA  DUPLA DE 1/2""  UNF - ZB",
282005 - REBITE DE ALUMINIO 4X6,
282169 - REBITE DE ALUMINIO   6X12,
284245 - RETENTOR REF 00517 BR (AR-5346),
289220 - ROLAMENTO 33210 SPZ/ZWZ/GBR/1ª L,
289231 - ROLAMENTO 32207 SPZ/ZWZ/GBR/1ª L,
"292023 - LUVA SIMPLES GALV 2"" BSP",
"292205 - VALVULA DE GAVETA 1.1/2""",
"292254 - VALVULA DE GAVETA 2""",
"299108 - CABO DE ACO 3/16"" GALV. 6X7 + AF.",
"299534 - LONA DE FREIO MOLDADA 1/4X2""",
318416 - TINTA PÓ 26 LI LARANJA W RAL 2002 BR,Tintas PÓ
318417 - TINTA PÓ 26 R LI CINZA FUMAÇA EMA 022 167,Tintas PÓ
318418 - TINTA PÓ 27 W VERMELHA W81400 CÓD. WEG 10005853,Tintas PÓ
318419 - TINTA PÓ 26 R LI AZUL CEMAG BR CÓD. WEG CDP 13505,Tintas PÓ
326409 - VERNIZ SINTÉTICO - TINGIDO,Tintas PU
"262728 - RODA ARO K 5 X 14"" - 6 FUROS",Roda
"222434 - AÇO MT 50.8 CROMADO SAE 1045 NORMAL 2"" - CBH/CBHM 5t / 7t",Aços
"222433 - TUBO TCH 114,30 X 101,60 X 06 ST52 IMP BRUN 4 C/PROTEÇÃO - CBH/CBHM 5t / 7t",Aços
CHAPA -  6.00 - CHAPA LQ 6.00,Chapa Agrupada
CHAPA -  6.30 - CHAPA LQ 6.30,Chapa Agrupada
CHAPA -  2.25 - CHAPA LQ 2.25,Chapa Agrupada
CHAPA -  3.00 - CHAPA LQ 3.00,Chapa Agrupada
CHAPA -  4.75 - CHAPA LQ 4.75,Chapa Agrupada
CHAPA -  2.00 - CHAPA LQ 2.00,Chapa Agrupada
CHAPA -  2.65 - CHAPA LQ 2.65,Chapa Agrupada
CHAPA -  3.75 - CHAPA LQ 3.75,Chapa Agrupada
120134IMP - BOBINA CHAPA LQ 2.00 X 1200 A36/CIVIL300 IMP,Chapas
120136IMP - BOBINA CHAPA LQ 2.25 X 1200 A36/CIVIL300 IMP,Chapas
120549IMP - BOBINA CHAPA LQ 2.65 X 1200 A36/CIVIL300 IMP,Chapas
120547IMP - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300 IMP,Chapas
120278IMP - BOBINA CHAPA LQ 3.75 X 1200 A36/CIVIL300 IMP,Chapas
"120305IMP - BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300 IMP",Chapas
120201IMP - BOBINA CHAPA LQ 6.00 X 1200 SAE1010,Chapas
120545IMP - BOBINA CHAPA LQ 3.00 X 1500 A36/CIVIL300,Chapas
120845 - CHAPA 1/4 (6.35) INOX-304,Chapas
"120509 - CHAPA GQ   3/4 (19,0)     1010",Chapas
"120376 - CHAPA GQ 1"" (25,4) 1010/1020",Chapas
110140 - ACO LAMINADO RED 4          1020,Aços
"110517 - AÇO REDONDO LAMINADO 5"" 1045",Aços
"134690 - TUBO AÇO INOX 316 - 48,26MM X 5.08MM",Aços
134339 - TUBO MECANICO  63 X  33  ST-52,Aços
"113049 - ACO TREF. RED. SAE-1045 - 1.1/2""",Aços
110516 - ACO LAMINADO RED 4.1/2    1045,Aços
110048 - ACO LAMINADO RED 2.1/2    1020,Aços
110670 - ACO LAMINADO RED 3          1045,Aços
110565 - ACO LAMINADO RED 3.1/2    1045,Aços
110139 - ACO LAMINADO RED 4          1045,Aços
110735 - ACO LAMINADO RED 4.1/2    1020,Aços
110747 - AÇO LAMINADO RED 5          1020,Aços
"112874 - ACO RED INOX 304 DE 1.1/2""",Aços
"113050 - ACO TREF. RED. SAE-1020 - 1.1/2""",Aços
"112501 - ACO TREF. RED. SAE-1020 - 5/16""",Aços
"112604 - ACO TREF. RED. SAE-1045 - 1/2""",Aços
"112902 - ACO TREF. RED. SAE-1045 - 7/8""",Aços
134156 - TUBO MECANICO  43 X  30  ST-52,Aços
134196 - TUBO MECANICO  87 X 66 ST-52,Aços
134790 - TUBO MECANICO 100 X  56  ST-52,Aços
134651 - TUBO MECANICO 112 X 66   ST-52,Aços
"134016 - TUBO QDR    70,00 X 4,75",Aços
"134020NAC - TUBO QUADRADO 100 X 100 X 4,75",Aços
134063NAC - TUBO RETANGULAR 100 X 80 X 4.75,Aços
134018 - TUBO RETANGULAR 180 X 80 X 6.35 X 6000,Aços
134019NAC - TUBO RETANGULAR 200 X 100 X 6.35,Aços
"134118 - TUBO SCHEDULLE 80 - 3/8"" 5000",Aços
260400 - PARAF SEX   5/8 X 1.3/4 8.8UNF ZB,
"214116 - ARO AVULSO R16"" x 5,5",
"214113 - ARO AG 15.5"" DC13"" X 15.5"" OFFSET49,4MM",
"212102 - ARRUELA LISA 1.1/4"" GALV. 1/8"" ESPESSURA",
"274151 - PORCA SEXTAVADA 1.1/4"" UNF 8.8",
222438 - AÇO MT 60.00 CROMADO SAE 1045 NORMAL - CBH 6t/CBHM CAFEEIRA,
222466 - AÇO MT 60.00 CROMADO SAE 1045 NORMAL - CTH4500,
"240461 - ADAPTADOR 3/4""-16 PTT-30°",
210019 - ANEL GUIA MOLYGARD 6W2-2612-500,
210013 - ANEL GUIA MOLYGARD W2-2250-500 (REF. PARKER),
210158 - ANEL O-RING 2-342,
210027 - ANEL O'RING 2-026,
210028 - ANEL O'RING 2-029,
210026 - ANEL O'RING 2-045 (USAR PARKER),
210029 - ANEL O'RING 2-047 (USAR PARKER),
210011 - ANEL O'RING 2-244,
210160 - ANEL RASPADOR     REF D-2000,
210161 - ANEL RASPADOR D-2375,
"212098 - ARRUELA LISA 1/4"" GALV",
212103 - ARRUELA LISA 30MM GALV.,
"222114 - BARRA ROSC FERRO GALV. 5/8"" X 1MT",
222074 - BLOCO DE CONTROLE CÓD. HFB110831 (COM 01 VÁLVULA ELÉTRICA E 01 VÁLVULA MANUAL),
222452 - CABEÇOTE GUIA C/ VED. CN.080XH.060,
218250 - CÂMARA FM 15.5 TR15,
200497 - CHAPA UHMW 4 X 80 X 200 [CTH4500],
200492 - CHAPA UHMW 5 X 80 X 130 [CTH4500],
222416 - CILINDRO TEL. CBH 8T 19 OC,
222464 - DISTANCIADOR H060,
222453 - EMBOLO C/ VED. CN 080-080x030x050,
222454 - FUNDO CN.080 080x095x012 FD,
292291 - GAX MOLYTH REF 25002000375,
292448 - GAX MOLYTH REF 37503250    MAI,
292048 - GAXETA MOLYTHANE POLYPAK STD 37503750,
292292 - GAXETA MOLYTHANE POLYPAK TIPO B 25002375-375 B,
240491 - MACACO MOD. RAL-329 DIST. CALCÁRIO,
"240248 - MANG. A/P 3/8""x 700MM TERM. RETO/90º JIC 3/4""",
222455 - OLHAL TUBULAR 063X040X100,
256020 - PARAF FRANC 1/2 X 1.1/2 GALV,
260484 - PARAF SEX   1/2 X 1.1/4    UNC,
260836 - PARAF SEX   1/2 X 2.1/4 8.8UNC ZB,
260526 - PARAF SEX   1/2 X 4 - UNC,
258210 - PARAF SEX   3/4 X 1.1/2    UNC ZB,
258910 - PARAF SEX   3/4 X 3  UNC ZB,
260812 - PARAF SEX   5/16X 1/2    UNC,
258091 - PARAF SEX   5/16X 3/4    UNC 8.8 ZB,
"257135 - PARAFUSO FENDA CABEÇA CHATA 1/4"" X 1.1/4"" UNC",
"258236 - PARAFUSO SEXTAVADO 3/4"" X 2.1/2"" UNC",
"259219 - PARAFUSO SEXTAVADO G5 (8.8) 5/16"" X 4"" UNC",
222264 - PINO DE PRESSAO 6 X32,
268502 - PNEU 400/60-15.5 SMHF I3 14L S/C,
222456 - PORCA AUTO TRAVANTE MÉTRICA ALTA M30X2,
"274288 - PORCA SEX     5/8""  UNF  ZB",
"274964 - PORCA SEXTAVADA G5 1.1/2"" UNF",
289218 - ROLAMENTO REF 51104 - 2ª. LINHA,
"292242 - TAMPAO PVC 2""",
240302 - TERM RETO FEMEA JIC MANG 3/8 X 3/4,
222459 - TOMADA DE OLEO 1/2 BSP,
222461 - TOMADA DE OLEO 1/2 BSP-H18,
222457 - TOMADA DE OLEO TB LIG16H30,
222463 - TUBO TCH 095x080x07.5 BRUNIDO C/ PROTEÇÃO - CTH4500,
"222435 - TUBO TCH 127.00 X 114.30 X 06.35 ST52 BRUN 4.1/2"" C/ PROTEÇÃO - CBH 6t/CBHM CAFEEIRA",
222462 - TUBO TLH 016X2 USINADO,
240260 - UNIÃO MACHO JIC 3/4 X 1/2 BSP,
398041 - KIT ADESIVO CAFEEIRA CBHM5000,Adesivo
398043 - KIT ADESIVO CAFEEIRA CBHM6000,Adesivo
398042 - KIT ADESIVO CAFEEIRA CBHM4500,Adesivo
